country,year,PES,PES_AES,Re_M1_annual,A_lambda,B,C,valid
Morocco,1995,-0.5411270036042225,,,0.0025172859358950214,,,False
Morocco,1996,0.5237881284628765,0.00274827856923876,0.5246927946427378,0.0025172859358950214,0.10887141728747209,19.145145632506896,True
Morocco,1997,-0.5374117036415333,,,0.0025172859358950214,,,False
Morocco,1998,0.4117392764889155,0.0019241909669545387,0.4673323816379563,0.0025172859358950214,0.0712785435058408,26.04560850120575,True
Morocco,1999,-0.5682754637463598,,,0.0025172859358950214,,,False
Morocco,2000,1.21779104900874,0.0004069209481118661,0.03341467720945169,0.0025172859358950214,0.01567597614668646,8.467790930466915,True
Morocco,2001,-1.7042427576844712,,,0.0025172859358950214,,,False
Morocco,2002,1.3942873862761855,0.0009554011843956318,0.06852254375959638,0.0025172859358950214,0.03209608611101574,8.481034911734946,True
Morocco,2003,0.36398124288577766,0.0018259254512132362,0.5016537216963778,0.0025172859358950214,0.05941635041083759,33.54018988234248,True
Morocco,2004,0.04121127152128582,0.0014709081550942581,3.56918896407874,0.0025172859358950214,0.045818476737689615,309.45417428853204,True
Morocco,2005,-0.14514991279862016,,,0.0025172859358950214,,,False
Morocco,2006,0.19735344394360815,0.0025579197125275826,1.296111008459768,0.0025172859358950214,0.07201062288405606,71.5011591286549,True
Morocco,2007,-0.4361819685977,,,0.0025172859358950214,,,False
Morocco,2008,0.19877971514925885,0.0026445539572989346,1.3303942785677116,0.0025172859358950214,0.06651624883831712,79.45478736671228,True
Morocco,2009,1.727559025167175,0.003654020320456713,0.21151348620942864,0.0025172859358950214,0.09258674499994128,9.075210301557568,True
Morocco,2010,-1.069881020174438,,,0.0025172859358950214,,,False
Morocco,2011,-0.35610076317024797,,,0.0025172859358950214,,,False
Morocco,2012,0.16102646994007505,0.0016605081621956994,1.0312019898428169,0.0025172859358950214,0.033436853781917755,122.514019014027,True
Morocco,2013,0.8958646216198932,0.0029056015877317928,0.3243348958772268,0.0025172859358950214,0.05760353586955506,22.36721879224061,True
Morocco,2014,0.4914324222502619,0.0025580037775578533,0.5205199457220977,0.0025172859358950214,0.04936004734166027,41.89182289954014,True
Morocco,2015,1.3764192356652472,0.0021072438091340774,0.15309607382198567,0.0025172859358950214,0.04163687817145065,14.606741521076541,True
Morocco,2016,0.20778253410333805,0.0002610557295612317,0.1256389189244361,0.0025172859358950214,0.00518474327601093,96.26410653963944,True
Morocco,2017,-0.009312499953084415,,,0.0025172859358950214,,,False
Morocco,2018,0.10747759731430884,0.0016142870958727146,1.5019754220517911,0.0025172859358950214,0.029744006630203716,200.59994397669374,True
Morocco,2019,-1.7477050589373444,,,0.0025172859358950214,,,False
Morocco,2020,-0.29481925561385336,,,0.0025172859358950214,,,False
Morocco,2021,-1.1535200383781143,,,0.0025172859358950214,,,False
Morocco,2022,18.38238965480343,0.00028414387562883967,0.001545739596236832,0.0025172859358950214,0.015042254250050456,0.40821678470073985,True
Morocco,2023,0.7573877770315898,0.0005801326486982872,0.07659651585241922,0.0025172859358950214,0.03291339270187765,9.244933985392208,True
